7124,M,頂湳站(揚子中學) (東向),,,A[繞駛媽祖醫院],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,斗六,經北勢子,虎尾、土庫、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Douliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,0835,0945,1010,1115,1230,1315,1425,1520,1735,1810,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,0835,0945,1010,1115,1230,1315,1425,1520,1735,1810,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,子茂,和平國小,秀潭,奮起湖,義雲宮,新興,下店,土庫商工,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,虎尾圓環,虎尾高中,虎尾分局,平和國小,平和厝,大業,新厝,北勢,新光,東明里,新庄,久安,久安1,縣政府,雲林監理站,慈濟門診中心,中華影城,鎮西國小,斗六,,
Beigang,Beigang Power Company,Wulu Caishen Temple,Xinjie,Caohu,Dingcaohu,Gouzao,Xizhuang,Dingxizhuang,Bai hua mu,Yuanzhang1,Yuanchang,Zimau,Heping ES.,Xiutan,Fenqihu,Yiyun Temple,Xinxing,Xiadian,Tuku Voc.,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,NFU,Huwei,Huwei Traffic Circle,Huwei SH.,Huwei Police Substation,Ping-He ES.,Pinghecuo,Daye,Xincuo,Beishi,Xinguang,Dongming Village,Xinzhuang,Jiuan,Jiuan 1,County Government,Yunlin Motor Vehicles Station,Tzu Chi Clinic Center,Zhonghua Movie City,Zhenxi ES.,Douliu,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
466011200153957 ,頂湳站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽祖醫院,埒內,中溪,崁腳,大路墘,惠來國小,惠來公墓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazu Hospital,Lenei,Zhongxi,Kanjiao,Daluqian,Huilai ES.,Huilai cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7124,M,中湳站(東向),,,A[繞駛媽祖醫院],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,斗六,經北勢子,虎尾、土庫、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Douliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,0835,0945,1010,1115,1230,1315,1425,1520,1735,1810,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,0835,0945,1010,1115,1230,1315,1425,1520,1735,1810,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,子茂,和平國小,秀潭,奮起湖,義雲宮,新興,下店,土庫商工,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,虎尾圓環,虎尾高中,虎尾分局,平和國小,平和厝,大業,新厝,北勢,新光,東明里,新庄,久安,久安1,縣政府,雲林監理站,慈濟門診中心,中華影城,鎮西國小,斗六,,
Beigang,Beigang Power Company,Wulu Caishen Temple,Xinjie,Caohu,Dingcaohu,Gouzao,Xizhuang,Dingxizhuang,Bai hua mu,Yuanzhang1,Yuanchang,Zimau,Heping ES.,Xiutan,Fenqihu,Yiyun Temple,Xinxing,Xiadian,Tuku Voc.,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,NFU,Huwei,Huwei Traffic Circle,Huwei SH.,Huwei Police Substation,Ping-He ES.,Pinghecuo,Daye,Xincuo,Beishi,Xinguang,Dongming Village,Xinzhuang,Jiuan,Jiuan 1,County Government,Yunlin Motor Vehicles Station,Tzu Chi Clinic Center,Zhonghua Movie City,Zhenxi ES.,Douliu,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
466011200153951 ,中湳站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽祖醫院,埒內,中溪,崁腳,大路墘,惠來國小,惠來公墓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazu Hospital,Lenei,Zhongxi,Kanjiao,Daluqian,Huilai ES.,Huilai cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7124,M,下湳站(東向),,,A[繞駛媽祖醫院],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,斗六,經北勢子,虎尾、土庫、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Douliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,0835,0945,1010,1115,1230,1315,1425,1520,1735,1810,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,0835,0945,1010,1115,1230,1315,1425,1520,1735,1810,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,子茂,和平國小,秀潭,奮起湖,義雲宮,新興,下店,土庫商工,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,虎尾圓環,虎尾高中,虎尾分局,平和國小,平和厝,大業,新厝,北勢,新光,東明里,新庄,久安,久安1,縣政府,雲林監理站,慈濟門診中心,中華影城,鎮西國小,斗六,,
