7123,M,虎尾國中站(東向),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,斗六,經惠來厝,虎尾、土庫、奮起湖、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Douliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0745,0905,1035,1150,1610,1705,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0745,0905,1035,1150,1610,1705,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,子茂,和平國小,秀潭,奮起湖,義雲宮,新興,下店,土庫商工,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,勝源,埒內社區,埒內,汕尾,虎尾國中,半路店,中溪,東過溪,崁腳,大路墘,惠來國小,惠來厝,溪底仔,大美瓦斯廠,大美,榮橋新村,豐泰,虎尾溪,正心中學,電力公司,斗六
Beigang,Beigang Power Company,Wulu Caishen Temple,Xinjie,Caohu,Dingcaohu,Gouzao,Xizhuang,Dingxizhuang,Bai hua mu,Yuanzhang1,Yuanchang,Zimau,Heping ES.,Xiutan,Fenqihu,Yiyun Temple,Xinxing,Xiadian,Tuku Vocational High,Tuku,Yongnian High School,Xianan,Zhongnan,Dingnan,NFU,Huwei,Shengyuan,Lenei Community,Lenei,Shanwei,Huwei Junior High,Banludian,Zhongxi,Dongguoxi,Kanjiao,Daluqian,Huilai ES.,Huilaicuo,Xi Di Zi,Damei Gas Factory,Damei,Rongqiao Village,Fengtai,Huweixi,Zhengxin High school,Taiwan Power Company,Douliu
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
466011200153950 ,虎尾國中站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁一醫院,北港圖書館,北港農工,雲林二監,廉使,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renyi Hospital,Beigang Library,Pei-Kang Vocational High,Yunlin Second Prison,Lianshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7123,M,埒內站(北向),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,斗六,經惠來厝,虎尾、土庫、奮起湖、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang,Douliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0745,0905,1035,1150,1610,1705,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0745,0905,1035,1150,1610,1705,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,北港電力公司,五路財神廟,新街,草湖,頂草湖,溝皂,西庄,頂西庄,白花墓,元長1,元長,子茂,和平國小,秀潭,奮起湖,義雲宮,新興,下店,土庫商工,土庫,永年中學,下湳,中湳,頂湳,虎尾科技大學,虎尾,勝源,埒內社區,埒內,汕尾,虎尾國中,半路店,中溪,東過溪,崁腳,大路墘,惠來國小,惠來厝,溪底仔,大美瓦斯廠,大美,榮橋新村,豐泰,虎尾溪,正心中學,電力公司,斗六
